timestamp,src_ip,dst_ip,protocol,bytes,packets
1768977076,10.10.90.214,224.0.0.251,17,482,1
1768977076,146.75.118.172,10.10.90.210,6,12072,11
1768977076,10.10.90.210,146.75.118.172,6,532,6
1768977076,10.10.90.219,224.0.0.251,17,589,1
1768977076,10.10.90.210,142.251.222.196,6,55,1
1768977076,142.251.222.196,10.10.90.210,6,66,1
1768977076,10.10.90.210,10.10.0.26,17,172,2
1768977076,10.10.0.26,10.10.90.210,17,696,2
1768977076,10.10.90.210,44.226.108.168,6,108,2
1768977076,10.10.90.210,44.252.230.19,6,6025,18
1768977076,10.10.90.210,142.251.43.42,6,55,1
1768977076,142.251.43.42,10.10.90.210,6,66,1
1768977076,10.10.90.210,142.251.222.142,6,55,1
1768977076,142.251.222.142,10.10.90.210,6,66,1
1768977076,10.10.90.210,142.251.43.129,6,55,1
1768977076,44.226.108.168,10.10.90.210,6,60,1
1768977076,142.251.43.129,10.10.90.210,6,66,1
1768977076,44.252.230.19,10.10.90.210,6,10773,21
1768977076,0.0.0.0,255.255.255.255,17,342,1
1768977076,192.168.1.1,239.255.255.250,17,10650,22
1768977076,10.10.90.210,142.250.183.138,6,55,1
1768977076,142.250.183.138,10.10.90.210,6,66,1
1768977081,10.10.90.210,142.251.43.234,6,110,2
1768977081,142.251.43.234,10.10.90.210,6,132,2
1768977081,10.10.90.210,142.250.205.145,6,55,1
1768977081,142.250.205.145,10.10.90.210,6,66,1
1768977081,10.10.90.210,10.10.0.26,17,162,2
1768977081,10.10.0.26,10.10.90.210,17,639,2
1768977081,10.10.90.210,150.171.23.17,6,3629,13
1768977081,150.171.23.17,10.10.90.210,6,8089,18
1768977081,10.10.90.210,180.149.52.216,6,108,2
1768977081,10.10.90.210,180.149.59.144,6,108,2
1768977081,180.149.59.144,10.10.90.210,6,138,2
1768977081,10.10.90.210,142.250.66.3,6,55,1
1768977081,180.149.52.216,10.10.90.210,6,138,2
1768977081,142.250.66.3,10.10.90.210,6,66,1
1768977081,10.10.90.210,142.250.183.138,6,55,1
1768977081,142.250.183.138,10.10.90.210,6,66,1
1768977081,10.10.90.210,142.251.222.206,6,110,2
1768977081,142.251.222.206,10.10.90.210,6,132,2
1768977081,10.10.90.210,142.250.205.99,6,110,2
1768977081,142.250.205.99,10.10.90.210,6,132,2
1768977081,10.10.90.210,142.251.222.170,6,55,1
1768977081,10.10.90.214,224.0.0.251,17,106,1
1768977081,142.251.222.170,10.10.90.210,6,66,1
1768977081,10.10.90.210,142.251.43.129,6,110,2
1768977081,10.10.90.210,142.251.43.131,6,55,1
1768977081,142.251.43.129,10.10.90.210,6,132,2
1768977081,142.251.43.131,10.10.90.210,6,66,1
1768977081,10.10.90.210,142.251.222.196,6,55,1
1768977081,142.251.222.196,10.10.90.210,6,66,1
1768977081,10.10.90.210,57.144.123.32,6,55,1
1768977081,57.144.123.32,10.10.90.210,6,60,1
1768977081,10.10.90.210,172.64.148.235,6,109,1
1768977081,172.64.148.235,10.10.90.210,6,60,1
1768977081,10.10.90.219,224.0.0.251,17,224,1
1768977086,10.10.90.214,224.0.0.251,17,1703,7
1768977086,10.10.90.219,224.0.0.251,17,3476,9
1768977086,10.10.90.194,224.0.0.251,17,1056,6
1768977086,4.190.205.28,10.10.90.210,6,394,4
1768977086,10.10.90.210,4.190.205.28,6,1098,3
1768977086,10.10.90.210,142.251.222.206,6,55,1
1768977086,142.251.222.206,10.10.90.210,6,66,1
1768977086,10.10.90.210,142.251.10.84,6,55,1
1768977086,142.251.10.84,10.10.90.210,6,66,1
1768977086,10.10.90.210,142.251.43.131,6,55,1
1768977086,142.251.43.131,10.10.90.210,6,66,1
1768977086,10.10.90.210,216.239.36.180,6,55,1
1768977086,216.239.36.180,10.10.90.210,6,66,1
1768977086,10.10.91.132,224.0.0.251,17,1073,6
1768977086,93.123.17.254,10.10.90.210,6,366,1
1768977086,10.10.90.210,93.123.17.254,6,54,1
1768977086,10.10.90.210,10.10.0.26,17,156,2
1768977086,10.10.90.210,150.171.30.11,6,1770,6
1768977086,10.10.0.26,10.10.90.210,17,533,2
1768977086,150.171.30.11,10.10.90.210,6,1130,6
1768977091,98.90.102.147,10.10.90.210,6,145,2
1768977091,10.10.90.210,98.90.102.147,6,54,1
1768977091,10.10.90.210,180.149.52.216,6,7465,5
1768977091,180.149.52.216,10.10.90.210,6,732,8
1768977091,10.10.90.219,224.0.0.251,17,735,2
1768977091,146.75.118.172,10.10.90.210,6,11950,9
1768977091,10.10.90.210,146.75.118.172,6,270,5
1768977091,10.10.90.210,10.10.0.26,17,354,4
1768977091,10.10.0.26,10.10.90.210,17,1910,4
1768977091,10.10.90.210,135.130.78.161,6,1753,15
1768977091,10.10.90.210,52.109.124.28,6,932,7
1768977091,10.10.90.210,40.99.9.50,6,5843,25
1768977091,40.99.9.50,10.10.90.210,6,18629,25
1768977091,52.109.124.28,10.10.90.210,6,6868,7
1768977091,135.130.78.161,10.10.90.210,6,11805,11
1768977091,10.10.90.210,199.232.105.140,6,55,1
1768977091,199.232.105.140,10.10.90.210,6,66,1
1768977091,10.10.90.210,40.79.173.41,6,31969,17
1768977091,10.10.90.210,216.239.34.223,6,55,1
1768977091,216.239.34.223,10.10.90.210,6,66,1
1768977091,40.79.173.41,10.10.90.210,6,8437,24
1768977091,0.0.0.0,224.0.0.1,2,240,4
1768977091,10.10.90.203,224.0.0.251,2,240,4
1768977091,10.10.91.103,239.255.255.250,2,60,1
1768977091,10.10.91.2,239.255.102.18,2,60,1
1768977091,10.10.91.49,224.0.0.252,2,60,1
1768977096,172.64.148.235,10.10.90.210,6,138,2
1768977096,10.10.90.210,172.64.148.235,6,82,1
1768977096,10.10.90.210,40.79.173.41,6,54,1
1768977096,10.10.90.210,40.99.9.50,6,54,1
1768977096,10.10.90.210,52.109.124.28,6,54,1
1768977096,10.10.90.219,224.0.0.251,17,2444,11
1768977096,0.0.0.0,255.255.255.255,17,342,1
1768977096,10.10.90.210,199.232.105.140,6,110,2
1768977096,199.232.105.140,10.10.90.210,6,132,2
1768977096,10.10.90.210,4.213.25.240,6,150,2
1768977096,4.213.25.240,10.10.90.210,6,227,1
1768977096,10.10.90.210,180.149.52.216,6,108,2
1768977096,180.149.52.216,10.10.90.210,6,138,2
1768977096,10.10.90.210,20.249.168.239,6,165,2
1768977096,20.249.168.239,10.10.90.210,6,100,1
1768977096,10.10.90.68,239.255.255.250,2,60,1
1768977096,10.10.90.207,224.0.0.251,17,531,4
1768977096,10.10.90.210,239.255.255.250,17,212,1
1768977096,10.10.90.154,255.255.255.255,17,885,5
1768977096,10.10.90.154,10.10.91.255,17,177,1
1768977096,10.10.90.68,224.0.0.252,2,60,1
1768977101,10.10.90.207,224.0.0.251,17,610,2
1768977101,10.10.90.210,239.255.255.250,17,636,3
1768977101,10.10.90.214,224.0.0.251,17,482,1
1768977101,10.10.90.210,52.110.16.163,6,14746,35
1768977101,52.110.16.163,10.10.90.210,6,27938,43
1768977101,10.10.90.210,185.199.108.133,6,55,1
1768977101,185.199.108.133,10.10.90.210,6,66,1
1768977101,10.10.90.219,224.0.0.251,17,723,2
1768977101,57.144.123.32,10.10.90.210,6,153,2
1768977101,10.10.90.210,57.144.123.32,6,108,2
1768977101,10.10.91.23,255.255.255.255,17,1232,7
1768977101,10.10.91.23,10.10.91.255,17,176,1
1768977101,10.10.90.210,104.18.32.47,6,55,1
1768977101,104.18.32.47,10.10.90.210,6,66,1
1768977101,10.10.90.210,10.10.0.26,17,87,1
1768977101,10.10.90.210,14.139.5.5,17,87,1
1768977101,10.10.0.26,10.10.90.210,17,508,1
1768977101,10.10.90.210,52.110.14.170,6,4328,10
1768977101,52.110.14.170,10.10.90.210,6,9498,13
1768977101,10.10.91.167,239.255.255.250,17,1991,5
1768977101,10.10.90.210,199.232.105.108,6,108,2
1768977101,199.232.105.108,10.10.90.210,6,205,3
1768977101,10.10.90.68,224.0.0.251,17,1273,2
1768977101,10.10.90.210,20.189.173.17,6,66,1
1768977101,10.10.90.210,150.171.30.11,6,108,2
1768977101,150.171.30.11,10.10.90.210,6,120,2
1768977106,10.10.91.167,239.255.255.250,17,10786,22
1768977106,10.10.90.68,224.0.0.251,17,2612,4
1768977106,20.189.173.17,10.10.90.210,6,7641,12
1768977106,10.10.90.210,20.189.173.17,6,9098,14
1768977106,52.110.14.170,10.10.90.210,6,60,1
1768977106,10.10.90.210,52.110.14.170,6,54,1
1768977106,10.10.90.219,224.0.0.251,17,369,1
1768977106,10.10.91.225,239.255.255.250,17,636,3
1768977106,10.10.90.210,52.110.16.163,6,108,2
1768977106,10.10.90.214,224.0.0.251,17,106,1
1768977106,192.168.1.1,239.255.255.250,17,10650,22
1768977162,10.10.90.47,224.0.0.251,17,664,2
1768977162,10.10.90.210,10.10.0.26,17,156,2
1768977162,10.10.0.26,10.10.90.210,17,552,2
1768977162,10.10.90.210,57.144.123.32,6,6812,13
1768977162,57.144.123.32,10.10.90.210,6,5780,15
1768977162,10.10.90.210,199.232.106.137,6,55,1
1768977162,199.232.106.137,10.10.90.210,6,66,1
1768977162,10.10.90.210,180.149.59.219,17,1292,1
1768977162,199.232.105.140,10.10.90.210,6,546,7
1768977162,10.10.90.210,199.232.105.140,6,270,5
1768977162,10.10.91.23,255.255.255.255,17,1232,7
1768977162,10.10.91.23,10.10.91.255,17,176,1
1768977162,10.10.90.210,51.104.15.253,6,5515,6
1768977162,51.104.15.253,10.10.90.210,6,1122,4
1768977162,10.10.90.210,142.251.220.110,6,55,1
1768977162,142.251.220.110,10.10.90.210,6,66,1
1768977167,10.10.90.210,142.251.221.110,6,55,1
1768977167,142.251.221.110,10.10.90.210,6,66,1
1768977167,4.190.205.28,10.10.90.210,6,394,4
1768977167,10.10.90.210,4.190.205.28,6,1098,3
1768977167,10.10.90.210,10.10.0.26,17,172,2
1768977167,10.10.0.26,10.10.90.210,17,696,2
1768977167,10.10.90.210,44.252.230.19,6,874,5
1768977167,10.10.90.210,142.250.206.14,6,55,1
1768977167,142.250.206.14,10.10.90.210,6,66,1
1768977167,44.252.230.19,10.10.90.210,6,976,7
1768977167,199.232.105.140,10.10.90.210,6,303,4
1768977167,10.10.90.210,199.232.105.140,6,108,2
1768977167,10.10.90.210,142.251.222.196,6,55,1
1768977167,142.251.222.196,10.10.90.210,6,66,1
1768977167,10.10.90.210,142.251.43.42,6,55,1
1768977167,142.251.43.42,10.10.90.210,6,66,1
1768977167,10.10.90.210,142.251.222.142,6,55,1
1768977167,142.251.222.142,10.10.90.210,6,66,1
1768977167,10.10.90.210,142.251.43.129,6,55,1
1768977167,142.251.43.129,10.10.90.210,6,66,1
1768977167,146.75.118.172,10.10.90.210,6,11950,9
1768977167,10.10.90.210,146.75.118.172,6,270,5
1768977167,192.168.1.1,239.255.255.250,17,10650,22
1768977167,10.10.90.210,52.88.136.56,6,110,2
1768977167,52.88.136.56,10.10.90.210,6,132,2
1768977167,10.10.90.210,142.250.183.138,6,55,1
1768977167,142.250.183.138,10.10.90.210,6,66,1
1768977167,10.10.90.210,142.251.43.234,6,110,2
1768977167,142.251.43.234,10.10.90.210,6,132,2
1768977167,10.10.90.210,142.250.205.145,6,55,1
1768977167,142.250.205.145,10.10.90.210,6,66,1
1768977167,185.199.108.133,10.10.90.210,6,303,4
1768977167,10.10.90.210,185.199.108.133,6,216,4
1768977167,10.10.90.219,224.0.0.251,17,225,1
1768977167,10.10.90.210,142.250.66.3,6,55,1
1768977167,142.250.66.3,10.10.90.210,6,66,1
1768977210,10.10.91.132,224.0.0.251,17,560,2
1768977210,10.10.90.210,131.253.33.254,6,132,2
1768977210,10.10.90.210,98.90.102.147,6,55,1
1768977210,10.10.90.29,239.255.255.250,17,698,1
1768977210,10.10.90.210,142.251.221.110,6,55,1
1768977210,142.251.221.110,10.10.90.210,6,66,1
1768977210,10.10.90.210,142.250.206.14,6,55,1
1768977210,142.250.206.14,10.10.90.210,6,66,1
1768977210,10.10.90.210,44.252.230.19,6,55,1
1768977210,44.252.230.19,10.10.90.210,6,66,1
1768977210,142.251.43.42,10.10.90.210,6,187,2
1768977210,10.10.90.210,142.251.43.42,6,108,2
1768977210,10.10.90.210,142.251.222.196,6,55,1
1768977210,142.251.222.196,10.10.90.210,6,66,1
1768977210,169.254.59.28,239.192.152.143,17,178,1
1768977210,10.10.90.210,142.251.43.129,6,55,1
1768977210,142.251.43.129,10.10.90.210,6,66,1
1768977215,10.10.90.210,142.250.183.138,6,110,2
1768977215,142.250.183.138,10.10.90.210,6,132,2
1768977215,10.10.90.210,142.251.43.234,6,110,2
1768977215,142.251.43.234,10.10.90.210,6,132,2
1768977215,10.10.90.210,142.250.205.145,6,55,1
1768977215,169.254.59.28,239.192.152.143,17,356,2
1768977215,142.250.205.145,10.10.90.210,6,66,1
1768977215,172.64.148.235,10.10.90.210,6,138,2
1768977215,10.10.90.210,172.64.148.235,6,82,1
1768977215,10.10.90.210,142.250.66.3,6,55,1
1768977215,142.250.66.3,10.10.90.210,6,66,1
1768977215,10.10.90.210,142.251.222.206,6,110,2
1768977215,142.251.222.206,10.10.90.210,6,132,2
1768977215,10.10.90.210,142.250.205.99,6,110,2
1768977215,142.250.205.99,10.10.90.210,6,132,2
1768977215,142.251.222.196,10.10.90.210,6,253,3
1768977215,10.10.90.210,142.251.222.196,6,163,3
1768977215,150.171.41.11,10.10.90.210,6,60,1
1768977215,10.10.90.210,142.251.43.129,6,110,2
1768977215,10.10.90.210,4.213.25.242,6,55,1
1768977215,10.10.90.210,142.251.43.131,6,55,1
1768977215,142.251.43.129,10.10.90.210,6,132,2
1768977215,142.251.43.131,10.10.90.210,6,66,1
1768977215,4.213.25.242,10.10.90.210,6,66,1
1768977215,10.10.90.210,10.10.0.26,17,158,2
1768977215,10.10.0.26,10.10.90.210,17,741,2
1768977215,10.10.90.210,180.149.59.211,6,6095,8
1768977215,180.149.59.211,10.10.90.210,6,1582,10
1768977215,10.10.90.210,216.239.34.223,6,55,1
1768977215,216.239.34.223,10.10.90.210,6,66,1
1768977220,0.0.0.0,224.0.0.1,2,240,4
1768977220,10.10.90.210,239.255.255.250,17,848,4
1768977220,10.10.90.47,224.0.0.251,2,120,2
1768977220,10.10.90.214,239.255.255.250,2,60,1
1768977220,10.10.90.207,224.0.0.251,17,1141,6
1768977220,10.10.90.29,224.0.0.252,2,60,1
1768977220,10.10.90.154,255.255.255.255,17,885,5
1768977220,10.10.90.154,10.10.91.255,17,177,1
1768977220,10.10.90.210,142.251.222.206,6,55,1
1768977220,142.251.222.206,10.10.90.210,6,66,1
1768977220,10.10.90.210,142.251.43.131,6,55,1
1768977220,142.251.43.131,10.10.90.210,6,66,1
1768977220,10.10.90.210,142.251.10.84,6,55,1
1768977220,142.251.10.84,10.10.90.210,6,66,1
1768977220,10.10.90.210,216.239.36.180,6,55,1
1768977220,216.239.36.180,10.10.90.210,6,66,1
1768977220,180.149.59.211,10.10.90.210,6,624,4
1768977220,10.10.90.210,180.149.59.211,6,162,3
1768977220,10.10.90.219,224.0.0.251,17,1855,5
1768977220,142.251.43.129,10.10.90.210,6,187,2
1768977220,10.10.90.210,142.251.43.129,6,108,2
1768977220,10.10.90.210,104.18.32.47,6,15129,10
1768977220,10.10.90.68,224.0.0.251,2,3840,64
1768977220,10.10.90.68,224.0.0.252,2,60,1
1768977220,104.18.32.47,10.10.90.210,6,3622,14
1768977220,10.10.91.23,255.255.255.255,17,1232,7
1768977220,10.10.91.23,10.10.91.255,17,176,1
1768977220,142.251.221.110,10.10.90.210,6,187,2
1768977220,10.10.90.210,142.251.221.110,6,108,2
1768977220,10.10.91.23,239.255.102.18,2,60,1
1768977225,10.10.90.210,104.18.32.47,6,14564,7
1768977225,104.18.32.47,10.10.90.210,6,1869,14
1768977225,10.10.90.68,239.255.255.250,2,60,1
1768977225,10.10.90.219,224.0.0.251,17,590,1
1768977225,10.10.90.68,224.0.0.251,17,3885,6
1768977225,10.10.90.210,180.149.59.147,6,186,3
1768977225,10.10.90.210,10.10.0.26,17,110,1
1768977225,10.10.0.26,10.10.90.210,17,634,1
1768977225,10.10.90.210,180.149.59.136,6,1436,8
1768977225,180.149.59.147,10.10.90.210,6,198,3
1768977225,180.149.59.136,10.10.90.210,6,6653,9
1768977225,57.144.123.32,10.10.90.210,6,153,2
1768977225,10.10.90.210,57.144.123.32,6,108,2
1768977225,44.252.230.19,10.10.90.210,6,305,4
1768977225,10.10.90.210,44.252.230.19,6,162,3
1768977225,10.10.91.225,239.255.255.250,17,636,3
1768977225,10.10.90.210,142.251.10.84,6,55,1
1768977225,142.251.10.84,10.10.90.210,6,66,1
1768977225,192.168.1.1,239.255.255.250,17,5325,11
1768977230,10.10.90.219,224.0.0.251,17,590,1
1768977230,192.168.1.1,239.255.255.250,17,5325,11
1768977230,10.10.90.210,10.10.0.26,17,255,3
1768977230,10.10.0.26,10.10.90.210,17,1067,3
1768977230,10.10.90.210,146.75.118.172,6,370,3
1768977230,146.75.118.172,10.10.90.210,6,122,2
1768977230,10.10.90.210,44.255.255.233,6,6137,19
1768977230,216.239.36.180,10.10.90.210,6,187,2
1768977230,10.10.90.210,216.239.36.180,6,108,2
1768977230,10.10.91.225,239.255.255.250,17,212,1
1768977230,44.255.255.233,10.10.90.210,6,10820,21
1768977230,142.251.222.206,10.10.90.210,6,374,4
1768977230,10.10.90.210,142.251.222.206,6,216,4
1768977230,10.10.90.210,162.159.200.123,17,90,1
1768977230,10.10.90.210,16.144.219.100,6,55,1
1768977230,16.144.219.100,10.10.90.210,6,66,1
1768977235,169.254.59.28,224.0.0.251,17,1292,6
1768977235,172.64.148.235,10.10.90.210,6,138,2
1768977235,10.10.90.210,172.64.148.235,6,82,1
1768977235,10.10.90.210,16.144.219.100,6,55,1
1768977235,10.10.90.207,239.255.255.250,17,848,4
1768977235,16.144.219.100,10.10.90.210,6,66,1
1768977235,10.10.90.210,162.159.200.123,17,90,1
1768977235,10.10.90.210,150.171.110.81,6,108,2
1768977235,10.10.90.210,13.107.213.254,6,108,2
1768977235,10.10.90.210,204.79.197.254,6,108,2
1768977235,10.10.90.210,13.107.138.254,6,108,2
1768977235,10.10.90.210,204.79.197.222,6,108,2
1768977235,10.10.90.210,150.171.22.254,6,108,2
1768977235,10.10.90.210,180.149.52.201,6,108,2
1768977235,10.10.90.210,13.107.6.254,6,108,2
1768977235,180.149.52.201,10.10.90.210,6,138,2
1768977235,150.171.22.254,10.10.90.210,6,120,2
1768977235,204.79.197.254,10.10.90.210,6,120,2
1768977235,204.79.197.222,10.10.90.210,6,120,2
1768977235,13.107.138.254,10.10.90.210,6,120,2
1768977235,13.107.6.254,10.10.90.210,6,120,2
1768977235,150.171.110.81,10.10.90.210,6,60,1
1768977235,13.107.213.254,10.10.90.210,6,120,2
1768977235,10.10.90.219,224.0.0.251,17,590,1
1768977235,10.10.91.132,239.255.255.250,17,848,4
1768977240,10.10.91.4,224.0.0.251,17,2367,6
1768977240,10.10.91.132,239.255.255.250,17,848,4
1768977240,10.10.90.210,162.159.200.123,17,90,1
1768977240,10.10.91.103,239.255.255.250,17,636,3
1768977240,10.10.90.226,10.10.91.255,17,86,1
1768977240,10.10.90.226,224.0.0.251,17,87,1
1768977240,10.10.90.47,224.0.0.251,17,316,1
1768977240,10.10.90.226,239.255.255.250,17,949,5
1768977245,10.10.90.226,239.255.255.250,17,1206,6
1768977245,10.10.90.210,52.104.17.25,6,108,2
1768977245,52.104.17.25,10.10.90.210,6,120,2
1768977245,10.10.91.103,239.255.255.250,17,212,1
1768977245,146.75.118.172,10.10.90.210,6,11896,8
1768977245,10.10.90.210,146.75.118.172,6,162,3
1768977245,10.10.90.210,162.159.200.123,17,90,1
1768977245,10.10.91.103,224.0.0.251,17,1503,6
1768977245,4.190.205.28,10.10.90.210,6,394,4
1768977245,16.144.219.100,10.10.90.210,6,245,3
1768977245,10.10.90.210,16.144.219.100,6,108,2
1768977245,10.10.90.210,4.190.205.28,6,1098,3
1768977245,10.10.90.226,224.0.0.251,17,984,12
1768977245,10.10.90.2,224.0.0.1,1,60,1
1768977250,10.10.90.226,224.0.0.251,17,492,6
1768977250,10.10.90.154,255.255.255.255,17,885,5
1768977250,10.10.90.154,10.10.91.255,17,177,1
1768977250,10.10.90.210,162.159.200.123,17,90,1
1768977250,16.144.219.100,10.10.90.210,6,827,10
1768977250,10.10.90.210,16.144.219.100,6,8548,15
1768977250,10.10.91.49,224.0.0.251,17,1260,6
1768977250,10.10.90.219,224.0.0.251,17,1855,5
1768977250,10.10.90.210,199.232.106.137,6,55,1
1768977250,199.232.106.137,10.10.90.210,6,66,1
1768977250,10.10.90.210,10.10.0.26,17,336,4
1768977250,10.10.0.26,10.10.90.210,17,1238,4
1768977250,10.10.90.210,216.239.34.180,6,10417,13
1768977250,216.239.34.180,10.10.90.210,6,4033,15
1768977250,10.10.91.23,255.255.255.255,17,1232,7
1768977250,10.10.91.23,10.10.91.255,17,176,1
1768977250,10.10.90.210,104.18.32.47,6,6632,6
1768977250,104.18.32.47,10.10.90.210,6,1081,9
1768977255,216.239.34.180,10.10.90.210,6,39847,98
1768977255,10.10.90.210,216.239.34.180,6,50180,57
1768977255,16.144.219.100,10.10.90.210,6,1003,11
1768977255,10.10.90.210,16.144.219.100,6,305,4
1768977255,10.10.90.210,10.10.0.26,17,795,10
1768977255,10.10.0.26,10.10.90.210,17,2796,10
1768977255,10.10.90.210,142.251.222.142,6,6452,12
1768977255,142.251.222.142,10.10.90.210,6,5882,14
1768977255,10.10.90.210,142.251.43.129,6,4513,11
1768977255,10.10.90.210,162.159.200.123,17,90,1
1768977255,142.251.43.129,10.10.90.210,6,3894,12
1768977255,10.10.90.219,224.0.0.251,17,1180,2
1768977255,192.168.1.1,192.168.1.255,17,500,2
1768977255,172.64.148.235,10.10.90.210,6,138,2
1768977255,10.10.90.210,172.64.148.235,6,82,1
1768977255,10.10.90.210,142.250.183.138,6,4118,7
1768977255,142.250.183.138,10.10.90.210,6,1454,10
1768977255,10.10.90.210,142.251.43.234,6,4265,8
1768977255,142.251.43.234,10.10.90.210,6,1419,10
1768977255,10.10.90.210,142.251.222.206,6,26280,39
1768977255,142.251.222.206,10.10.90.210,6,12494,58
1768977255,10.10.90.210,142.250.205.145,17,6460,5
1768977255,10.10.90.210,142.250.205.145,6,1497,7
1768977255,142.250.205.145,10.10.90.210,6,918,8
1768977255,10.10.90.210,104.18.32.47,6,14947,8
1768977255,104.18.32.47,10.10.90.210,6,3645,14
1768977255,10.10.90.210,142.250.206.14,6,55,1
1768977255,142.250.206.14,10.10.90.210,6,66,1
1768977255,142.250.66.3,10.10.90.210,6,187,2
1768977255,10.10.90.210,142.250.66.3,6,108,2
1768977255,192.168.1.1,239.255.255.250,17,5325,11
1768977260,216.239.34.180,10.10.90.210,6,9564,77
1768977260,10.10.90.210,216.239.34.180,6,64600,50
1768977260,192.168.1.1,239.255.255.250,17,5325,11
1768977260,10.10.90.210,142.251.10.84,6,5431,6
1768977260,142.251.10.84,10.10.90.210,6,1871,9
1768977260,10.10.90.210,10.10.0.26,17,1215,12
1768977260,10.10.0.26,10.10.90.210,17,1539,5
1768977260,10.10.90.210,142.250.183.138,6,55,1
1768977260,142.250.183.138,10.10.90.210,6,66,1
1768977260,10.10.90.210,142.251.43.234,6,55,1
1768977260,10.10.90.210,142.250.205.145,17,1292,1
1768977260,142.251.43.234,10.10.90.210,6,66,1
1768977260,142.251.222.206,10.10.90.210,6,18846,80
1768977260,10.10.90.210,142.251.222.206,6,32993,50
1768977260,10.10.90.210,142.250.205.99,6,110,2
1768977260,142.250.205.99,10.10.90.210,6,132,2
1768977260,10.10.90.210,142.251.43.129,6,110,2
1768977260,10.10.90.210,142.251.43.131,6,4316,72
1768977260,142.251.43.129,10.10.90.210,6,132,2
1768977260,142.251.43.131,10.10.90.210,6,106986,87
1768977260,10.10.90.210,142.251.222.196,6,11585,17
1768977260,142.251.222.196,10.10.90.210,6,16742,31
1768977260,10.10.90.210,172.64.148.235,6,109,1
1768977260,172.64.148.235,10.10.90.210,6,60,1
1768977260,10.10.90.210,20.249.168.239,6,165,2
1768977260,20.249.168.239,10.10.90.210,6,100,1
